2022-10-08 20:21:30,024 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2022-10-08 20:21:30,057 [     33]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-213.7172.25, 15 Mar 2022 19:44) 
2022-10-08 20:21:30,060 [     36]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2022-10-08 20:21:30,067 [     43]   INFO -        #com.intellij.idea.Main - JRE: 11.0.14.1+1-b1751.46 (JetBrains s.r.o.) 
2022-10-08 20:21:30,067 [     43]   INFO -        #com.intellij.idea.Main - JVM: 11.0.14.1+1-b1751.46 (OpenJDK 64-Bit Server VM) 
2022-10-08 20:21:30,092 [     68]   INFO -        #com.intellij.idea.Main - JVM options: [-Didea.auto.reload.plugins=true, -Didea.classpath.index.enabled=false, -Didea.config.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\config, -Didea.is.internal=true, -Didea.platform.prefix=Idea, -Didea.plugins.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\plugins, -Didea.required.plugins.id=org.intellij.sdk.codeInspection, -Didea.system.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\system, -Didea.vendor.name=JetBrains, -Djdk.module.illegalAccess.silent=true, --add-opens=java.base/java.io=ALL-UNNAMED, --add-opens=java.base/java.lang=ALL-UNNAMED, --add-opens=java.base/java.lang.reflect=ALL-UNNAMED, --add-opens=java.base/java.net=ALL-UNNAMED, --add-opens=java.base/java.nio=ALL-UNNAMED, --add-opens=java.base/java.nio.charset=ALL-UNNAMED, --add-opens=java.base/java.text=ALL-UNNAMED, --add-opens=java.base/java.time=ALL-UNNAMED, --add-opens=java.base/java.util=ALL-UNNAMED, --add-opens=java.base/java.util.concurrent=ALL-UNNAMED, --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED, --add-opens=java.base/jdk.internal.vm=ALL-UNNAMED, --add-opens=java.base/sun.nio.ch=ALL-UNNAMED, --add-opens=java.base/sun.security.ssl=ALL-UNNAMED, --add-opens=java.base/sun.security.util=ALL-UNNAMED, --add-opens=java.desktop/java.awt=ALL-UNNAMED, --add-opens=java.desktop/java.awt.dnd.peer=ALL-UNNAMED, --add-opens=java.desktop/java.awt.event=ALL-UNNAMED, --add-opens=java.desktop/java.awt.image=ALL-UNNAMED, --add-opens=java.desktop/java.awt.peer=ALL-UNNAMED, --add-opens=java.desktop/java.awt.font=ALL-UNNAMED, --add-opens=java.desktop/javax.swing=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.plaf.basic=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.text.html=ALL-UNNAMED, --add-opens=java.desktop/sun.awt.datatransfer=ALL-UNNAMED, --add-opens=java.desktop/sun.awt.image=ALL-UNNAMED, --add-opens=java.desktop/sun.awt=ALL-UNNAMED, --add-opens=java.desktop/sun.font=ALL-UNNAMED, --add-opens=java.desktop/sun.java2d=ALL-UNNAMED, --add-opens=java.desktop/sun.swing=ALL-UNNAMED, --add-opens=jdk.attach/sun.tools.attach=ALL-UNNAMED, --add-opens=jdk.compiler/com.sun.tools.javac.api=ALL-UNNAMED, --add-opens=jdk.internal.jvmstat/sun.jvmstat.monitor=ALL-UNNAMED, --add-opens=jdk.jdi/com.sun.tools.jdi=ALL-UNNAMED, --add-opens=java.desktop/sun.awt.windows=ALL-UNNAMED, -Xms256m, -Xmx512m, -Dfile.encoding=windows-1252, -Duser.country=US, -Duser.language=en, -Duser.variant, -ea] 
2022-10-08 20:21:30,092 [     68]   INFO -        #com.intellij.idea.Main - args: [] 
2022-10-08 20:21:30,093 [     69]   INFO -        #com.intellij.idea.Main - library path: C:\Users\JUST\.gradle\caches\modules-2\files-2.1\com.jetbrains\jbre\jbr_jcef-11_0_14_1-windows-x64-b1751.46\extracted\jbr\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\Kaspersky Lab\Kaspersky Endpoint Security for Windows\;C:\oracle\instantclient_21_6;C:\Program Files\Git\cmd;C:\Users\JUST\AppData\Local\Microsoft\WindowsApps;C:\Program Files\JetBrains\PyCharm Community Edition 2022.2.2\bin;;C:\Users\JUST\AppData\Local\GitHubDesktop\bin;. 
2022-10-08 20:21:30,093 [     69]   INFO -        #com.intellij.idea.Main - boot library path: C:\Users\JUST\.gradle\caches\modules-2\files-2.1\com.jetbrains\jbre\jbr_jcef-11_0_14_1-windows-x64-b1751.46\extracted\jbr\bin 
2022-10-08 20:21:30,115 [     91]   INFO -        #com.intellij.idea.Main - locale=en_US JNU=Cp1252 file.encoding=windows-1252
  idea.config.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\config
  idea.system.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\system
  idea.plugins.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\plugins
  idea.log.path=D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\system/log 
2022-10-08 20:21:30,126 [    102]   INFO -        #com.intellij.idea.Main - CPU cores: 8; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@57ddfd5b[Running, parallelism = 7, size = 7, active = 4, running = 4, steals = 3, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@44d62962 
2022-10-08 20:21:30,215 [    191]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 89 ms 
2022-10-08 20:21:30,229 [    205]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2022-10-08 20:21:30,346 [    322]   INFO - llij.ide.plugins.PluginManager - Plugin PluginDescriptor(name=Groovy, id=org.intellij.groovy, descriptorPath=plugin.xml, path=~\.gradle\caches\modules-2\files-2.1\com.jetbrains.intellij.idea\ideaIC\213.7172.25\5f40ccb79bdc6dd8a8cf06560da915d22badee94\ideaIC-213.7172.25\plugins\Groovy, version=213.7172.25, package=org.jetbrains.plugins.groovy, isBundled=true) misses optional descriptor duplicates-groovy.xml 
2022-10-08 20:21:30,346 [    322]   INFO - llij.ide.plugins.PluginManager - Plugin PluginDescriptor(name=Groovy, id=org.intellij.groovy, descriptorPath=plugin.xml, path=~\.gradle\caches\modules-2\files-2.1\com.jetbrains.intellij.idea\ideaIC\213.7172.25\5f40ccb79bdc6dd8a8cf06560da915d22badee94\ideaIC-213.7172.25\plugins\Groovy, version=213.7172.25, package=org.jetbrains.plugins.groovy, isBundled=true) misses optional descriptor duplicates-detection-groovy.xml 
2022-10-08 20:21:30,447 [    423]   INFO - llij.ide.plugins.PluginManager - Module intellij.space.index is not enabled because dependency intellij.indexing.shared is not available 
2022-10-08 20:21:30,463 [    439]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (213.7172.25), IDE Features Trainer (213.7172.25), Grazie (213.7172.25), Settings Repository (213.7172.25), YAML (213.7172.25), WSL File System Support (213.7172.25), TextMate Bundles (213.7172.25), Terminal (213.7172.25), Emoji Picker (213.7172.25), JetBrains maven model api classes (213.7172.25), JetBrains Repository Search (213.7172.25), Qodana (213.7172.25), EditorConfig (213.7172.25), WebP Support (213.7172.25), Mercurial (213.7172.25), Shell Script (213.7172.25), Projector Libraries for Code With Me and Remote Development (213.7172.25), JetBrains Marketplace Licensing Support (213.7172.25), Windows 10 Light Theme (213.7172.25), macOS Light Theme (213.7172.25), Dependency Management Api for External Build Tools (213.7172.25), Copyright (213.7172.25), Properties (213.7172.25), Gradle (213.7172.25), Images (213.7172.25), Java (213.7172.25), JavaFX (213.7172.25), Kotlin (213-1.5.10-release-949-IJ7172.25), Java Bytecode Decompiler (213.7172.25), Eclipse Interoperability (213.7172.25), Java Stream Debugger (213.7172.25), Package Search (213.7172.25), com.intellij.tracing.ide (213.7172.25), Java IDE Customization (213.7172.25), Java Internationalization (213.7172.25), UI Designer (213.7172.25), Configuration Script (213.7172.25), Shared Indexes (213.7172.25), Machine Learning Code Completion (213.7172.25), Smali Support (213.7172.25), XPathView + XSLT (213.7172.25), IntelliLang (213.7172.25), Markdown (213.7172.25), Task Management (213.7172.25), XSLT Debugger (213.7172.25), TestNG (213.7172.25), Subversion (213.7172.25), Perforce Helix Core (213.7172.25), Lombok (213.7172.25), JUnit (213.7172.25), GitHub (213.7172.25), Space (213.7172.25), Git (213.7172.25), IDE Features Trainer: Git Lessons (213.7172.25), ChangeReminder (213.7172.25), Machine Learning in Search Everywhere (213.7172.25), Code Coverage for Java (213.7172.25), Bytecode Viewer (213.7172.25), Groovy (213.7172.25), Ant (213.7172.25), Maven (213.7172.25), Gradle-Java (213.7172.25), Gradle-Maven (213.7172.25), Gradle DSL API (213.7172.25), Gradle Dependency Updater Implementation (213.7172.25), Android (2020.3.1 Final.213.7172.25), Code With Me (213.7172.25), Plugin DevKit (213.7172.25) 
2022-10-08 20:21:30,463 [    439]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: NIV Solver: Android Vulnerability Inspection (2.0.0) 
2022-10-08 20:21:31,295 [   1271]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2022-10-08 20:21:31,388 [   1364]   INFO - ication.options.PathMacrosImpl - Loaded path macros: {MAVEN_REPOSITORY=C:\Users\JUST\.m2\repository, KOTLIN_BUNDLED=C:\Users\JUST\.gradle\caches\modules-2\files-2.1\com.jetbrains.intellij.idea\ideaIC\213.7172.25\5f40ccb79bdc6dd8a8cf06560da915d22badee94\ideaIC-213.7172.25\plugins\Kotlin\kotlinc} 
2022-10-08 20:21:31,434 [   1410]   INFO - intellij.diagnostic.JitWatcher - JIT compilation state checking enabled 
2022-10-08 20:21:31,439 [   1415]   INFO - rsistent.PersistentFSConnector - Marking VFS as corrupted: 'D:\android paper\intellij-sdk-code-samples\NIV-Solver\build\idea-sandbox\system\caches\names.dat' does not exist 
2022-10-08 20:21:31,448 [   1424]   INFO - intellij.util.io.FilePageCache - lower=100; upper=492; buffer=10; max=492 
2022-10-08 20:21:31,458 [   1434]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2022-10-08 20:21:31,534 [   1510]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2022-10-08 20:21:31,534 [   1510]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2022-10-08 20:21:31,872 [   1848]   INFO - ings.impl.UpdateCheckerService - channel: release 
2022-10-08 20:21:31,873 [   1849]   INFO - penapi.application.Experiments - Experimental features enabled for user: wsl.p9.support, wsl.prefer.p9.support, wsl.p9.show.roots.in.file.chooser, wsl.execute.with.wsl.exe, linux.native.menu, recent.and.edited.files.together, show.create.new.element.in.popup, search.everywhere.mixed.results, editor.reader.mode, new.large.text.file.viewer, wsl.fsd.content.loader, terminal.shell.command.handling 
2022-10-08 20:21:32,219 [   2195]   INFO - impl.SharedIndexInfrastructure - Shared index version updated from -1 to 7 
2022-10-08 20:21:32,233 [   2209]   INFO - impl.SharedIndexInfrastructure - Shared index persistent data has been cleared 
2022-10-08 20:21:32,277 [   2253]   INFO - impl.SharedIndexMainZipStorage - Shared Indexes Storage is opened and empty 
